year,pct,stops,stop_arrests,arrests,crimes,Latitude,Longitude,population
2008,49,4647,216,3034,6802,40.85667745818817,-73.8552993576655,114712
2009,49,6742,357,3253,6887,40.85667745818817,-73.8552993576655,114712
2010,49,8677,453,3839,7217,40.85667745818817,-73.8552993576655,114712
2011,49,8495,378,3519,6946,40.85667745818817,-73.8552993576655,114712
2012,49,5778,349,3922,6649,40.85667745818817,-73.8552993576655,114712
2013,49,1637,106,4448,6760,40.85667745818817,-73.8552993576655,114712
2014,49,475,59,4243,6716,40.85667745818817,-73.8552993576655,114712
2015,49,581,105,3682,6355,40.85667745818817,-73.8552993576655,114712
2016,49,566,70,3794,6519,40.85667745818817,-73.8552993576655,114712
2017,49,280,96,3757,6597,40.85667745818817,-73.8552993576655,114712
2018,49,142,38,3344,6559,40.85667745818817,-73.8552993576655,114712
2006,50,2851,9,1902,4627,40.889581817433424,-73.90466286997581,101720
2007,50,1766,82,2554,5052,40.889581817433424,-73.90466286997581,101720
2008,50,2271,170,2542,5086,40.889581817433424,-73.90466286997581,101720
2009,50,2323,208,2979,5148,40.889581817433424,-73.90466286997581,101720
2010,50,2659,264,2316,4617,40.889581817433424,-73.90466286997581,101720
2011,50,2683,304,2538,4578,40.889581817433424,-73.90466286997581,101720
2012,50,1832,203,2170,4366,40.889581817433424,-73.90466286997581,101720
2013,50,913,76,2078,4162,40.889581817433424,-73.90466286997581,101720
2014,50,301,14,2129,4395,40.889581817433424,-73.90466286997581,101720
2015,50,165,13,1986,4471,40.889581817433424,-73.90466286997581,101720
2016,50,106,11,2058,4494,40.889581817433424,-73.90466286997581,101720
2017,50,50,10,1627,4339,40.889581817433424,-73.90466286997581,101720
2018,50,45,8,1320,4023,40.889581817433424,-73.90466286997581,101720
2006,52,3471,160,7739,10028,40.86967647000001,-73.88807028172408,139307
2007,52,5011,330,9534,10617,40.86967647000001,-73.88807028172408,139307
2008,52,7712,432,9068,10846,40.86967647000001,-73.88807028172408,139307
2009,52,9172,439,9413,10502,40.86967647000001,-73.88807028172408,139307
2010,52,9729,835,11407,11363,40.86967647000001,-73.88807028172408,139307
2011,52,13648,657,10690,11247,40.86967647000001,-73.88807028172408,139307
2012,52,9811,446,9747,10769,40.86967647000001,-73.88807028172408,139307
2013,52,1964,159,9357,10296,40.86967647000001,-73.88807028172408,139307
2014,52,536,39,9380,10807,40.86967647000001,-73.88807028172408,139307
2015,52,216,21,7324,10209,40.86967647000001,-73.88807028172408,139307
2016,52,140,16,6377,9898,40.86967647000001,-73.88807028172408,139307
2017,52,230,61,6898,10031,40.86967647000001,-73.88807028172408,139307
2018,52,207,47,5915,9856,40.86967647000001,-73.88807028172408,139307
2006,60,5457,334,4614,6906,40.580574928395045,-73.97977799530872,104278
2007,60,4377,263,4988,6675,40.580574928395045,-73.97977799530872,104278
2008,60,6659,360,4808,6788,40.580574928395045,-73.97977799530872,104278
2009,60,8781,377,5213,6136,40.580574928395045,-73.97977799530872,104278
2010,60,9235,690,5090,6746,40.580574928395045,-73.97977799530872,104278
2011,60,9952,670,4562,6405,40.580574928395045,-73.97977799530872,104278
2012,60,7785,500,4142,6275,40.580574928395045,-73.97977799530872,104278
2013,60,4478,285,4392,6176,40.580574928395045,-73.97977799530872,104278
2014,60,691,70,4670,6294,40.580574928395045,-73.97977799530872,104278
2015,60,488,99,4974,6434,40.580574928395045,-73.97977799530872,104278
2016,60,278,144,4538,5913,40.580574928395045,-73.97977799530872,104278
2017,60,186,78,4133,5778,40.580574928395045,-73.97977799530872,104278
2018,60,174,62,3880,6058,40.580574928395045,-73.97977799530872,104278
2006,61,5970,328,3282,7511,40.593673027250894,-73.94858990768304,159645
2007,61,4472,262,3514,7525,40.593673027250894,-73.94858990768304,159645
2008,61,6034,203,3338,7413,40.593673027250894,-73.94858990768304,159645
2009,61,5396,210,3430,6875,40.593673027250894,-73.94858990768304,159645
2010,61,5439,269,3140,6030,40.593673027250894,-73.94858990768304,159645
2011,61,6620,265,3194,5697,40.593673027250894,-73.94858990768304,159645
2012,61,6690,193,3314,6259,40.593673027250894,-73.94858990768304,159645
2013,61,2929,114,3329,5784,40.593673027250894,-73.94858990768304,159645
2014,61,196,15,3331,5910,40.593673027250894,-73.94858990768304,159645
2015,61,99,22,2810,5552,40.593673027250894,-73.94858990768304,159645
2016,61,88,34,2676,5279,40.593673027250894,-73.94858990768304,159645
2017,61,152,58,2635,5570,40.593673027250894,-73.94858990768304,159645
2018,61,137,44,2231,5459,40.593673027250894,-73.94858990768304,159645
2006,62,5215,158,2615,7405,40.60768341465968,-73.99351511623034,181981
2007,62,4161,251,2840,6907,40.60768341465968,-73.99351511623034,181981
2008,62,4642,212,2915,6623,40.60768341465968,-73.99351511623034,181981
2009,62,6040,206,2826,6199,40.60768341465968,-73.99351511623034,181981
2010,62,4976,180,2515,5615,40.60768341465968,-73.99351511623034,181981
2011,62,4385,194,2471,5718,40.60768341465968,-73.99351511623034,181981
2012,62,4471,195,2476,5747,40.60768341465968,-73.99351511623034,181981
2013,62,3054,115,2384,5668,40.60768341465968,-73.99351511623034,181981
2014,62,618,45,2947,5986,40.60768341465968,-73.99351511623034,181981
2015,62,256,47,2770,5909,40.60768341465968,-73.99351511623034,181981
2016,62,125,27,2549,5485,40.60768341465968,-73.99351511623034,181981
2017,62,107,47,2394,5392,40.60768341465968,-73.99351511623034,181981
2018,62,97,34,1653,5170,40.60768341465968,-73.99351511623034,181981
2006,63,3324,68,2160,6181,40.61942785895759,-73.92424252198693,108646
2007,63,3267,47,2605,5907,40.61942785895759,-73.92424252198693,108646
2008,63,2218,76,2377,6039,40.61942785895759,-73.92424252198693,108646
2009,63,2520,96,2282,5498,40.61942785895759,-73.92424252198693,108646
2010,63,3449,149,2301,5359,40.61942785895759,-73.92424252198693,108646
2011,63,4585,237,2443,5403,40.61942785895759,-73.92424252198693,108646
2012,63,3663,197,2499,5282,40.61942785895759,-73.92424252198693,108646
2013,63,1549,79,2339,4853,40.61942785895759,-73.92424252198693,108646
2014,63,232,18,2277,4790,40.61942785895759,-73.92424252198693,108646
2015,63,171,8,2183,4975,40.61942785895759,-73.92424252198693,108646
2016,63,80,4,2294,4960,40.61942785895759,-73.92424252198693,108646
2017,63,172,32,1996,4651,40.61942785895759,-73.92424252198693,108646
2018,63,163,38,2051,4289,40.61942785895759,-73.92424252198693,108646
2006,66,3604,73,2010,5348,40.632248310166375,-73.98433953475039,191382
2007,66,3236,367,2008,5172,40.632248310166375,-73.98433953475039,191382
2008,66,3800,630,1824,5276,40.632248310166375,-73.98433953475039,191382
2009,66,3987,669,1756,5162,40.632248310166375,-73.98433953475039,191382
